date,time,eventtype,location,topic,instructor,regtype,moreinfo,moreinfo_link
"Aug. 19, 2024",8:00 AM - 5:00 PM (Pacific),"OS101 Day Training, JPL Internal","Jet Propulsion Laboratory, 183-718, Pasadena, CA","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5",JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253Dos101%2526startRow%253D0%26SearchCallerID%3D2
"Aug. 21, 2024",12:00 PM - 1:00 PM (Central),TOPS Champions Summer Workshop,"NSSTC Conference room 1010, 320 Sparkman Dr NW, Huntsville, AL 35805, USA",OS101 Module 4,"Pontus Olofsson, NASA; Michael Katz, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSc_VUwvPkbPwgzxFygKnq5-1Bzg-Vco1YEY73-QQLgkgC-oaw/viewform
"Aug. 28, 2024",12:00 PM - 1:00 PM (Central),TOPS Champions Summer Workshop,"NSSTC Conference room 1010, 320 Sparkman Dr NW, Huntsville, AL 35805, USA",OS101 Module 5,"Pontus Olofsson, NASA; Teresa Miller, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSchCNE5EH1L9pOGJX5lvciGtxGGL7huaQIe3hqC4BeT_QVXYg/viewform
