date,time,eventtype,topic,instructor,regtype,register,register_link
17 de Octobre - 21 de Noviembre de 2024,2:00 PM -5:00 PM (UTC-3),"Cohort 3, ALTa Ciencia Abierta [OS101 Spanish]","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Metadocencia Team: Romina Pendino, Veronica Xhardez, Maria Nanton, Mariela Rajngewerc, Irene Vazano, Mariela Rajngewerc, Jesica Formoso, Patricia Loto, Debora Burin, Veronica Xhardez, Paz Miguez, Laurel Ascenzi",External (Metadocencia),Reg&#xED;strate Ahora,https://www.metadocencia.org/alta-ca/3-2024/
22 de Octobre - 28 de Noviembre de 2024,4:00 PM -5:30 PM (UTC),OLS Nebula Program,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","OLS Team: Virginia Garcia Alonso, Chad Sansing, Jafsia Elisee, Saranjeet Kaur Bhogal, Sara Villa, Pauline Karega, Johanna Bayer, Aman Goel, Daniela Saderi",External (OLS),Reg&#xED;strate Ahora,https://events.humanitix.com/ols-nebula
14 y 15 de Noviembre de 2024,11:00 AM - 2:00 PM (Eastern),TOPST Virtual Cohort,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code",External (TOPST),Reg&#xED;strate Ahora,https://us02web.zoom.us/webinar/register/WN_ykk3qPU3T3CUewtw6iLMhQ#/registration
3 y 4 de Deciembre de 2024,11:00 AM - 2:00 PM (Eastern),TOPST Virtual Cohort,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code",External (TOPST),Reg&#xED;strate Ahora,https://us02web.zoom.us/webinar/register/WN_zkFgbeVdRCSP-FVnX3KTSg#/registration
